List,#,Title,Year,Director,Country,Status,Reason,Tags,Notes
IMDB 102 LIST - ALREADY IN CANON,35,Black God White Devil,1964,Glauber Rocha,Brazil,✅ IN CANON,,"led_by, about_community, breakthrough",Cinema Novo pioneer
IMDB 102 LIST - ALREADY IN CANON,36,Entranced Earth,1967,Glauber Rocha,Brazil,✅ IN CANON,,"led_by, about_community, breakthrough",Cinema Novo
IMDB 102 LIST - ALREADY IN CANON,45,Central Station,1998,Walter Salles,Brazil,✅ IN CANON,,"led_by, about_community",Brazilian classic
IMDB 102 LIST - ALREADY IN CANON,52,Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,Cuba,✅ IN CANON,,"led_by, about_community, breakthrough",Cuban cinema landmark
IMDB 102 LIST - ALREADY IN CANON,59,Strawberry & Chocolate,1993,"Tomás Gutiérrez Alea, Juan Carlos Tabío",Cuba,✅ IN CANON,,"created_by, about_community, breakthrough",Cuban classic
IMDB 102 LIST - TIER 1 PRIORITY,1,Bewitching Kisses,1937,José A. Ferreyra,Argentina,⏳ PENDING,,"led_by, about_community","Early Argentine cinema, female-led"
IMDB 102 LIST - TIER 1 PRIORITY,2,Closed Door,1939,"John Alton, Luis Saslavsky",Argentina,⏳ PENDING,,"led_by, about_community","Argentine drama, imprisonment theme"
IMDB 102 LIST - TIER 1 PRIORITY,3,Prisioneros de la tierra,1939,Mario Soffici,Argentina,⏳ PENDING,,"led_by, about_community","Social injustice, mill exploitation"
IMDB 102 LIST - TIER 1 PRIORITY,4,The Gaucho War,1942,Lucas Demare,Argentina,⏳ PENDING,,"led_by, about_community","Historical 1817, Argentine identity"
IMDB 102 LIST - TIER 1 PRIORITY,25,Blood of the Condor,1969,Jorge Sanjinés,Bolivia,⏳ PENDING,,"led_by, about_community, breakthrough","Indigenous resistance cinema pioneer"
IMDB 102 LIST - TIER 1 PRIORITY,26,The Secret Nation,1989,Jorge Sanjinés,Bolivia,⏳ PENDING,,"led_by, about_community","Aymara community, indigenous culture"
IMDB 102 LIST - TIER 1 PRIORITY,62,The Battle of Chile: Part II,1976,Patricio Guzmán,Chile,⏳ PENDING,,"created_by, about_community, breakthrough","Coup documentary continuation"
IMDB 102 LIST - TIER 1 PRIORITY,63,The Battle of Chile: Part III,1979,Patricio Guzmán,Chile,⏳ PENDING,,"created_by, about_community, breakthrough","Final coup documentary"
IMDB 102 LIST - TIER 1 PRIORITY,65,Chile Obstinate Memory,1997,Patricio Guzmán,Chile,⏳ PENDING,,"created_by, about_community","Documentary about screening banned film"
IMDB 102 LIST - TIER 1 PRIORITY,86,Reed: Insurgent Mexico,1972,Paul Leduc,Mexico,⏳ PENDING,,"led_by, about_community, breakthrough","Mexican Revolution dramatization"
IMDB 102 LIST - TIER 1 PRIORITY,90,Frida,1983,Paul Leduc,Mexico,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Frida Kahlo biography"
IMDB 102 LIST - TIER 2 PRIORITY,5,God Bless You,1948,Luis César Amadori,Argentina,⏳ PENDING,,"led_by, about_community","Social commentary, class themes"
IMDB 102 LIST - TIER 2 PRIORITY,6,Pobre mi madre querida,1948,"Homero Manzi, Ralph Pappier",Argentina,⏳ PENDING,,"led_by, about_community","Family/poverty narrative"
IMDB 102 LIST - TIER 2 PRIORITY,8,The House of the Angel,1957,Leopoldo Torre Nilsson,Argentina,⏳ PENDING,,"led_by, about_community","1920s repressive society, gender"
IMDB 102 LIST - TIER 2 PRIORITY,9,The Hand in the Trap,1961,Leopoldo Torre Nilsson,Argentina,⏳ PENDING,,"led_by, about_community","Psychological mystery"
IMDB 102 LIST - TIER 2 PRIORITY,10,Tres veces Ana,1961,David José Kohon,Argentina,⏳ PENDING,,"led_by, about_community","Three women stories, female perspectives"
IMDB 102 LIST - TIER 2 PRIORITY,11,Los inundados,1962,Fernando Birri,Argentina,⏳ PENDING,,"led_by, about_community","River flood, rural displacement"
IMDB 102 LIST - TIER 2 PRIORITY,12,El romance del Aniceto y la Francisca,1967,Leonardo Favio,Argentina,⏳ PENDING,,"led_by, about_community","Rural love story, character studies"
IMDB 102 LIST - TIER 2 PRIORITY,15,The Traitors,1973,Raymundo Gleyzer,Argentina,⏳ PENDING,,"led_by, about_community","Union activist, leftist corruption"
IMDB 102 LIST - TIER 2 PRIORITY,16,Time for Revenge,1981,Adolfo Aristarain,Argentina,⏳ PENDING,,"led_by, about_community, breakthrough","Worker blackmail, class conflict"
IMDB 102 LIST - TIER 2 PRIORITY,17,Camila,1984,María Luisa Bemberg,Argentina,⏳ PENDING,,"led_by, created_by, about_community","1840s priest-lover scandal"
IMDB 102 LIST - TIER 2 PRIORITY,19,Veronico Cruz,1988,Miguel Pereira,Argentina,⏳ PENDING,,"led_by, about_community","Falklands War, young soldier"
IMDB 102 LIST - TIER 2 PRIORITY,20,The South,1988,Fernando E. Solanas,Argentina,⏳ PENDING,,"led_by, created_by, about_community","Post-dictatorship Buenos Aires"
IMDB 102 LIST - TIER 2 PRIORITY,21,Last Images of the Shipwreck,1989,Eliseo Subiela,Argentina,⏳ PENDING,,"led_by, about_community","Insurance salesman, suicide"
IMDB 102 LIST - TIER 2 PRIORITY,23,A Place in the World,1992,Adolfo Aristarain,Argentina,⏳ PENDING,,"led_by, about_community","Exile family, dam conflict"
IMDB 102 LIST - TIER 2 PRIORITY,37,Macunaima,1969,Joaquim Pedro de Andrade,Brazil,⏳ PENDING,,"led_by, about_community","Brazilian mythology, legend"
IMDB 102 LIST - TIER 2 PRIORITY,38,São Bernardo,1972,Leon Hirszman,Brazil,⏳ PENDING,,"led_by, about_community","Rich farmer, marriage obsession"
IMDB 102 LIST - TIER 2 PRIORITY,39,Iracema: Uma Transa Amazônica,1975,"Jorge Bodansky, Orlando Senna",Brazil,⏳ PENDING,,"led_by, about_community","Transamazônica highway, prostitution"
IMDB 102 LIST - TIER 2 PRIORITY,40,Dona Flor and Her Two Husbands,1976,Bruno Barreto,Brazil,⏳ PENDING,,"led_by, about_community","Two husbands (one ghost), magical"
IMDB 102 LIST - TIER 2 PRIORITY,41,Xica,1976,Carlos Diegues,Brazil,⏳ PENDING,,"led_by, about_community, breakthrough","Black slave mistress, diamond mining"
IMDB 102 LIST - TIER 2 PRIORITY,42,Bye Bye Brazil,1980,Carlos Diegues,Brazil,⏳ PENDING,,"led_by, about_community","Traveling artists, Transamazonian"
IMDB 102 LIST - TIER 2 PRIORITY,43,Pixote,1980,Hector Babenco,Brazil,⏳ PENDING,,"led_by, about_community, breakthrough","Street child, crime/drugs"
IMDB 102 LIST - TIER 2 PRIORITY,44,They Don't Wear Black Tie,1981,Leon Hirszman,Brazil,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Union leader's son, strike"
IMDB 102 LIST - TIER 2 PRIORITY,46,Chircales,1972,"Marta Rodríguez, Jorge Silva",Colombia,⏳ PENDING,,"led_by, created_by, about_community","Documentary, brick-maker exploitation"
IMDB 102 LIST - TIER 2 PRIORITY,47,The Vampires of Poverty,1978,"Carlos Mayolo, Luis Ospina",Colombia,⏳ PENDING,,"led_by, about_community","Mockumentary, porno-misery critique"
IMDB 102 LIST - TIER 2 PRIORITY,48,The Strategy of the Snail,1993,Sergio Cabrera,Colombia,⏳ PENDING,,"led_by, about_community","Tenants unite, eviction resistance"
IMDB 102 LIST - TIER 2 PRIORITY,61,Jackal of Nahueltoro,1969,Miguel Littin,Chile,⏳ PENDING,,"led_by, about_community, breakthrough","True story, murderer education"
IMDB 102 LIST - TIER 2 PRIORITY,67,The Man on the Shore,1993,Raoul Peck,Haiti,⏳ PENDING,,"led_by, about_community","Haiti under Papa Doc"
IMDB 102 LIST - TIER 2 PRIORITY,68,Sugar Cane Alley,1983,Euzhan Palcy,Martinique,⏳ PENDING,,"led_by, about_community","1931 colonial rule, education"
IMDB 102 LIST - TIER 2 PRIORITY,85,Tiburoneros,1963,Luis Alcoriza,Mexico,⏳ PENDING,,"led_by, about_community","Shark fisherman, family separation"
IMDB 102 LIST - TIER 2 PRIORITY,87,National Mechanics,1972,Luis Alcoriza,Mexico,⏳ PENDING,,"led_by, about_community","Car race, family violence"
IMDB 102 LIST - TIER 2 PRIORITY,88,Canoa: A Shameful Memory,1975,Felipe Cazals,Mexico,⏳ PENDING,,"led_by, about_community, breakthrough","University employees lynched"
IMDB 102 LIST - TIER 2 PRIORITY,91,The Realm of Fortune,1986,Arturo Ripstein,Mexico,⏳ PENDING,,"led_by, about_community","Poor man's fortune, moral decline"
IMDB 102 LIST - TIER 2 PRIORITY,92,Danzón,1991,María Novaro,Mexico,⏳ PENDING,,"led_by, created_by, about_community","Widow, danzón culture, self-discovery"
IMDB 102 LIST - TIER 2 PRIORITY,93,Like Water for Chocolate,1992,Alfonso Arau,Mexico,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Family tradition blocks love, magical"
IMDB 102 LIST - TIER 3 PRIORITY,24,Come Back Sebastiana,1953,"Augusto Roca, Jorge Ruiz",Bolivia,⏳ PENDING,,"led_by, about_community","Short film, indigenous themes"
IMDB 102 LIST - TIER 3 PRIORITY,27,Cuestión de fe,1995,Marcos Loayza,Bolivia,⏳ PENDING,,"led_by, about_community","Saint makers, jungle journey"
IMDB 102 LIST - TIER 3 PRIORITY,28,Limit,1931,Mario Peixoto,Brazil,⏳ PENDING,,"led_by, about_community","Early Brazilian cinema, experimental"
IMDB 102 LIST - TIER 3 PRIORITY,29,Ganga Bruta,1933,Humberto Mauro,Brazil,⏳ PENDING,,"led_by, about_community","Brazilian classic, social themes"
IMDB 102 LIST - TIER 3 PRIORITY,30,Alô Alô Carnaval,1936,Adhemar Gonzaga,Brazil,⏳ PENDING,,"led_by, about_community, created_by","Carnival musical, cultural significance"
IMDB 102 LIST - TIER 3 PRIORITY,31,The Bandit,1953,Lima Bareto,Brazil,⏳ PENDING,,"led_by, about_community","Outlaw narrative, Northeast Brazil"
IMDB 102 LIST - TIER 3 PRIORITY,32,Rio 40 Degrees,1955,Nelson Pereira dos Santos,Brazil,⏳ PENDING,,"led_by, about_community","Favela life, Black urban experience"
IMDB 102 LIST - TIER 3 PRIORITY,49,Now,1965,Santiago Álvarez,Cuba,⏳ PENDING,,"led_by, created_by, about_community","Documentary short, racism in USA"
IMDB 102 LIST - TIER 3 PRIORITY,50,Death of a Bureaucrat,1966,Tomás Gutiérrez Alea,Cuba,⏳ PENDING,,"led_by, about_community","Satire, bureaucratic absurdity"
IMDB 102 LIST - TIER 3 PRIORITY,51,The Adventures of Juan Quin Quin,1967,Julio García Espinosa,Cuba,⏳ PENDING,,"led_by, about_community","Picaresque, metamorphoses"
IMDB 102 LIST - TIER 3 PRIORITY,53,Lucia,1968,Humberto Solás,Cuba,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Three Cuban women, three eras"
IMDB 102 LIST - TIER 3 PRIORITY,54,La primera carga al machete,1969,Manuel Octavio Gómez,Cuba,⏳ PENDING,,"led_by, created_by, about_community","19th century independence, machete"
IMDB 102 LIST - TIER 3 PRIORITY,55,One Way or Another,1975,Sara Gómez,Cuba,⏳ PENDING,,"led_by, created_by, about_community","Revolutionary Cuba, worker/teacher"
IMDB 102 LIST - TIER 3 PRIORITY,56,Vampires in Havana,1985,Juan Padrón,Cuba,⏳ PENDING,,"led_by, about_community","Animated vampire, Cold War allegory"
IMDB 102 LIST - TIER 3 PRIORITY,57,Demasiado miedo a la vida o Plaff,1988,Juan Carlos Tabío,Cuba,⏳ PENDING,,"led_by, about_community","Woman in love, egg-throwing"
IMDB 102 LIST - TIER 3 PRIORITY,58,Papeles secundarios,1989,Orlando Rojas,Cuba,⏳ PENDING,,"led_by, about_community","Aging actress, theater decay"
IMDB 102 LIST - TIER 3 PRIORITY,60,Madagascar,1995,Fernando Pérez,Cuba,⏳ PENDING,,"led_by, about_community","Professor mother, bohemian daughter"
IMDB 102 LIST - TIER 3 PRIORITY,66,Las luces de Buenos Aires,1931,Adelqui Miglar,Argentina,⏳ PENDING,,"led_by, about_community","Musical, tango influence"
IMDB 102 LIST - TIER 3 PRIORITY,69,The Woman of the Port,1934,"Arcady Boytler, Raphael J. Sevilla",Mexico,⏳ PENDING,,"led_by, about_community","Prostitute/sailor siblings, cabaret"
IMDB 102 LIST - TIER 3 PRIORITY,70,Let's Go with Pancho Villa,1936,Fernando de Fuentes,Mexico,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Mexican Revolution, peasant fighters"
IMDB 102 LIST - TIER 3 PRIORITY,71,Out on the Big Ranch,1936,Fernando de Fuentes,Mexico,⏳ PENDING,,"led_by, about_community","Comedia ranchera, rural love"
IMDB 102 LIST - TIER 3 PRIORITY,72,You're Missing the Point,1940,Juan Bustillo Oro,Mexico,⏳ PENDING,,"led_by, about_community","Cantinflas inheritance scheme"
IMDB 102 LIST - TIER 3 PRIORITY,73,Maria Candelaria,1944,Emilio Fernández,Mexico,⏳ PENDING,,"led_by, about_community","1900s Mexico, indigenous woman"
IMDB 102 LIST - TIER 3 PRIORITY,74,Another Dawn,1943,Julio Bracho,Mexico,⏳ PENDING,,"led_by, about_community","Disaffected wife, union activist"
IMDB 102 LIST - TIER 3 PRIORITY,75,The Other One,1946,Roberto Gavaldón,Mexico,⏳ PENDING,,"led_by, about_community","Dual role, good/bad twins"
IMDB 102 LIST - TIER 3 PRIORITY,76,Nosotros los pobres,1948,Ismael Rodríguez,Mexico,⏳ PENDING,,"led_by, created_by, about_community","Pedro Infante carpenter, murder"
IMDB 102 LIST - TIER 3 PRIORITY,77,Pueblerina,1949,Emilio Fernández,Mexico,⏳ PENDING,,"led_by, about_community","Released prisoner, landowner conflict"
IMDB 102 LIST - TIER 3 PRIORITY,78,Una familia de tantas,1949,Alejandro Galindo,Mexico,⏳ PENDING,,"led_by, created_by, about_community","Strict patriarch, family crumbling"
IMDB 102 LIST - TIER 3 PRIORITY,79,The Adventuress,1950,Alberto Gout,Mexico,⏳ PENDING,,"led_by, about_community","Mother abandonment, prostitution"
IMDB 102 LIST - TIER 3 PRIORITY,82,Torero,1956,Carlos Velo,Mexico,⏳ PENDING,,"led_by, about_community","Bullfighter biography"
IMDB 102 LIST - TIER 3 PRIORITY,89,The Passion of Berenice,1976,Jaime Humberto Hermosillo,Mexico,⏳ PENDING,,"led_by, about_community","Woman's transformation"
IMDB 102 LIST - TIER 3 PRIORITY,94,La mujer de Benjamín,1991,Carlos Carrera,Mexico,⏳ PENDING,,"led_by, about_community","Old bachelor abduction plan"
IMDB 102 LIST - TIER 3 PRIORITY,96,Midaq Alley,1995,Jorge Fons,Mexico,⏳ PENDING,,"led_by, about_community","Mexico City alley, interconnected"
IMDB 102 LIST - TIER 3 PRIORITY,97,The City and the Dogs,1985,Francisco J. Lombardi,Peru,⏳ PENDING,,"led_by, about_community, breakthrough","Military academy, robbery/murder"
IMDB 102 LIST - TIER 3 PRIORITY,98,The Lion's Den,1988,Francisco J. Lombardi,Peru,⏳ PENDING,,"led_by, about_community","Anti-terrorist army, Shining Path"
IMDB 102 LIST - TIER 3 PRIORITY,99,Dios los cría,1979,Jacobo Morales,Puerto Rico,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Five interconnected stories"
IMDB 102 LIST - TIER 3 PRIORITY,100,Araya,1959,Margot Benacerraf,Venezuela,⏳ PENDING,,"led_by, created_by, about_community, breakthrough","Documentary, salt mine workers"
IMDB 102 LIST - TIER 3 PRIORITY,101,The Smoking Fish,1977,Román Chalbaud,Venezuela,⏳ PENDING,,"led_by, about_community","Brothel owner, male competition"
IMDB 102 LIST - TIER 3 PRIORITY,102,La boda,1982,Thaelman Urgelles,Cuba,⏳ PENDING,,"led_by, about_community","Wedding celebration, torture past"
